Customer Remarks,category,cleaned_remarks,category_encoded
There is no return option where we don't want to take the product but still we are bound as there is no option for return.the app is really bad and am gonna telling everyone that this is the most worst app to order anything. I just hate this app,Order Related,there is no return option where we dont want to take the product but still we are bound as there is no option for returnthe app is really bad and am gonna telling everyone that this is the most worst app to order anything i just hate this app,5
Provide quick resolution ,Cancellation,provide quick resolution,1
 Shopzilla Staff is very goodBut delvey is very bad ,Order Related,shopzilla staff is very goodbut delvey is very bad,5
Nice conversation ,Returns,nice conversation,10
Ensure customer care support ,Returns,ensure customer care support,10
Your executive was not responding and puts my call on mute while i was requesting to handover call tonur senior executive,Refund Related,your executive was not responding and puts my call on mute while i was requesting to handover call tonur senior executive,9
Good ?? ,Order Related,good,5
Ok,Returns,ok,10
Good service ,Order Related,good service,5
Excellent ,Feedback,excellent,2
"Thank for my help. Language Bengali Mai kare,baat Bengali me kar sakti hu toh behetar hota.",Order Related,thank for my help language bengali mai karebaat bengali me kar sakti hu toh behetar hota,5
Everything is good,Returns,everything is good,10
My issue is still not resolved. ,Returns,my issue is still not resolved,10
Worst ever customer care,Returns,worst ever customer care,10
I am happy ??,Order Related,i am happy,5
No issue..customer care is beru supportive,Returns,no issuecustomer care is beru supportive,10
Good but   likho hindi me likh ke bheje   samajhh aaya nahi hame   aise hi touch  e chale gaye. Ab galat   sahi mujhhe nahi pata. ,Product Queries,good but likho hindi me likh ke bheje samajhh aaya nahi hame aise hi touch e chale gaye ab galat sahi mujhhe nahi pata,8
It's very bad,Returns,its very bad,10
Very Good,Returns,very good,10
Customer service representative very good ,Returns,customer service representative very good,10
.... ,Returns,,10
No,Order Related,no,5
"Mera parcel aaj delivery hona tha but out for delivery show  , but customer care support services se   ki 20.08.2023 ko deliver hoga",Feedback,mera parcel aaj delivery hona tha but out for delivery show but customer care support services se ki 20082023 ko deliver hoga,2
There is no direct way reaching customer care.,Returns,there is no direct way reaching customer care,10
Good ,Order Related,good,5
Excellent customer support service ,Order Related,excellent customer support service,5
Tq sir,Shopzilla Related,tq sir,11
Return ,Others,return,6
Manufacturing defect,Order Related,manufacturing defect,5
Nice ??,Order Related,nice,5
Very helpful and good job,Refund Related,very helpful and good job,9
Very bad return policy ,Order Related,very bad return policy,5
Very well ,Returns,very well,10
Thnx,Order Related,thnx,5
No additional feedback ,Product Queries,no additional feedback,8
Very nice ,Refund Related,very nice,9
Solution are indicated and concern problem may be haeartly resolve,Returns,solution are indicated and concern problem may be haeartly resolve,10
CCR should be able to reach logistics delivery agent wish master. And delivery agent should be easily reachable.,Product Queries,ccr should be able to reach logistics delivery agent wish master and delivery agent should be easily reachable,8
Not get proper answer about order delivery,Order Related,not get proper answer about order delivery,5
THANK YOU,Returns,thank you,10
Very good ,Order Related,very good,5
Very good ????,Returns,very good,10
Make customer representatives available within a limited period of time. Have to wait for a longer duration.,Refund Related,make customer representatives available within a limited period of time have to wait for a longer duration,9
Very w,Returns,very w,10
Make customer support available ,Payments related,make customer support available,7
Ok,Returns,ok,10
Nice,Order Related,nice,5
Great,Cancellation,great,1
Good,Order Related,good,5
My order was cancelled without any notification day before it delivered and customer care did nothing.,Order Related,my order was cancelled without any notification day before it delivered and customer care did nothing,5
Please follow the company policies,Feedback,please follow the company policies,2
Nice ,Order Related,nice,5
Now system for delivery will faster in place of delay so much delay.,Product Queries,now system for delivery will faster in place of delay so much delay,8
There should be not courier charge if we replace for size ,Product Queries,there should be not courier charge if we replace for size,8
Please monitor sellers available they sometimes sell duplicate products due to which our trust from Shopzilla can be affected. Thankyou,Others,please monitor sellers available they sometimes sell duplicate products due to which our trust from shopzilla can be affected thankyou,6
No awarded,Returns,no awarded,10
Thanku sir ,Returns,thanku sir,10
Very bad service ,Returns,very bad service,10
The customer care service was very great . The person who talked to me was very polite and humble . He should get an additional bonus for this call. Thank you   ??,Order Related,the customer care service was very great the person who talked to me was very polite and humble he should get an additional bonus for this call thank you,5
Very good,Order Related,very good,5
Nice yaar ??,Returns,nice yaar,10
Overall good experienceNeed to easy way to connect with customer support ,Returns,overall good experienceneed to easy way to connect with customer support,10
Okay ,Returns,okay,10
Good customer service ,Returns,good customer service,10
Very good,Order Related,very good,5
"  , wasting of time & money & technical issues etc ??",Refund Related,wasting of time money technical issues etc,9
Product leke chala   abhi tak return ka  ,Returns,product leke chala abhi tak return ka,10
Very good,Returns,very good,10
You should keep return policy flexible ,Order Related,you should keep return policy flexible,5
5,Feedback,5,2
"If a pickup was raised to return the product, please ensure the related formalities are filled. The team denied to pick the parcel for return asking me to get work done regarding mail and approval to Shopzilla logistics.",Returns,if a pickup was raised to return the product please ensure the related formalities are filled the team denied to pick the parcel for return asking me to get work done regarding mail and approval to shopzilla logistics,10
Awesome,Returns,awesome,10
Thanks Shopzilla customer support,Returns,thanks shopzilla customer support,10
Very nice person I talk .,Order Related,very nice person i talk,5
Thank you ,Order Related,thank you,5
Good supported Shopzilla ,Returns,good supported shopzilla,10
Add local language for better understanding ,Order Related,add local language for better understanding,5
Good ,Refund Related,good,9
Over all good experience ,Returns,over all good experience,10
Thanks Shopzilla supported ,Returns,thanks shopzilla supported,10
"They still did,t solve my issue",Shopzilla Related,they still didt solve my issue,11
Every month increase paylater amount double ,Shopzilla Related,every month increase paylater amount double,11
Very good,Returns,very good,10
Very good,Returns,very good,10
Yee,Returns,yee,10
** you Shopzilla ,Refund Related,you shopzilla,9
No,Returns,no,10
??,Returns,,10
Best customer executive ,Returns,best customer executive,10
Very nice sir ,Returns,very nice sir,10
Thank you so much,Returns,thank you so much,10
  refund hote nhi h,Refund Related,refund hote nhi h,9
Not solve my problem ,Returns,not solve my problem,10
done,Returns,done,10
Very good ,Returns,very good,10
Approved bahut  ,Order Related,approved bahut,5
Thank you Shopzilla Customer Care ,Order Related,thank you shopzilla customer care,5
Ok,Order Related,ok,5
"If your product page commits to 2-day delivery, see that your suppliers do not commit to 6 days. I wasted a lot of time and energy with this girl, who was utterly useless and blocked my money. Shame",Order Related,if your product page commits to 2day delivery see that your suppliers do not commit to 6 days i wasted a lot of time and energy with this girl who was utterly useless and blocked my money shame,5
Thanks ,Returns,thanks,10
Good ,Returns,good,10
Solve my problem...,Returns,solve my problem,10
It was good ??,Order Related,it was good,5
She was really supportive and quick in responding positively.,Returns,she was really supportive and quick in responding positively,10
Thank you so much ??,Order Related,thank you so much,5
Thank uou,Returns,thank uou,10
Useless ,Feedback,useless,2
good skill and manner to talk with customer,Returns,good skill and manner to talk with customer,10
Very good person...????????,Returns,very good person,10
Good ,Returns,good,10
.,Refund Related,,9
??,Order Related,,5
Very good??,Order Related,very good,5
One of the worst customer service and his senior....  is one of the worst service provider post delivery,Returns,one of the worst customer service and his senior is one of the worst service provider post delivery,10
Bad response Shopzilla ke ,Product Queries,bad response shopzilla ke,8
Every thing is allright and customer behavior is laso very good thank you ,Order Related,every thing is allright and customer behavior is laso very good thank you,5
Thank you for clearing all my doubts.,Order Related,thank you for clearing all my doubts,5
No,Returns,no,10
Thanks for customer care,Returns,thanks for customer care,10
Thank you so much for helping me ??????,Returns,thank you so much for helping me,10
Good,Returns,good,10
"No one is actually solving my problem, instead doing the same thing repeatedly and wind up the query without my knowledge.",Order Related,no one is actually solving my problem instead doing the same thing repeatedly and wind up the query without my knowledge,5
Good service ,Returns,good service,10
Thankyou ,Returns,thankyou,10
???? ????? ????,Feedback,,2
Thankyou castomar support & Shopzilla ,Order Related,thankyou castomar support shopzilla,5
Thanks for your support ,Returns,thanks for your support,10
I'm facing the major problem since one monthBut still there is no response from Shopzilla to refund the amount of product ,Returns,im facing the major problem since one monthbut still there is no response from shopzilla to refund the amount of product,10
good communication skill,Product Queries,good communication skill,8
Gd ,Refund Related,gd,9
Please call on a clear phone network with not much disturbance ,Product Queries,please call on a clear phone network with not much disturbance,8
Good manrass,Returns,good manrass,10
Nice,Returns,nice,10
Good,Returns,good,10
??.. ,Returns,,10
Very bad service. No one having information of delivery hub.,Order Related,very bad service no one having information of delivery hub,5
Good,Order Related,good,5
Please solve my problem...,Returns,please solve my problem,10
No,Returns,no,10
Good response ,Payments related,good response,7
Wrong statment written in Shopzilla,Returns,wrong statment written in shopzilla,10
Good ,Returns,good,10
Good,Returns,good,10
Good ,Returns,good,10
Before delivery must be checked the product properly your distributor.,Order Related,before delivery must be checked the product properly your distributor,5
Thanks ,Returns,thanks,10
Awesome in solving problems,Returns,awesome in solving problems,10
Good,Returns,good,10
Good ,Feedback,good,2
Awesome ,Returns,awesome,10
Thank you so much??,Returns,thank you so much,10
Good ,Refund Related,good,9
Nice service ,Shopzilla Related,nice service,11
Super,Product Queries,super,8
Good,Returns,good,10
Nice,Cancellation,nice,1
Very loyal nd very decent talk nd easy splution very gud service nd i hope my refund credit that time ,Returns,very loyal nd very decent talk nd easy splution very gud service nd i hope my refund credit that time,10
Kindly make it easier to approach customer care,Order Related,kindly make it easier to approach customer care,5
Thank You!,Returns,thank you,10
"Shopzilla not have TollFree no &mail I'd, office address. Because it is online platform. Not it sure to slove my payment history.",Refund Related,shopzilla not have tollfree no mail id office address because it is online platform not it sure to slove my payment history,9
faltu,Feedback,faltu,2
.....,Returns,,10
Thank you so much sir. I am impressed your toking sir,Refund Related,thank you so much sir i am impressed your toking sir,9
Iam happy with the help ,Refund Related,iam happy with the help,9
No thanks ,Shopzilla Related,no thanks,11
Good job ??,Refund Related,good job,9
Excellent work,Feedback,excellent work,2
Stop selling duplicate products,Returns,stop selling duplicate products,10
Costumer cere very good talking ,Refund Related,costumer cere very good talking,9
???? ??? ???? ????? ??? ????? ???? ??? ?? ???,Returns,,10
It is really pathetic there is no option provided for refund or return if we receive damaged product. In the name of open item delivery Shopzilla cheating customers ,Payments related,it is really pathetic there is no option provided for refund or return if we receive damaged product in the name of open item delivery shopzilla cheating customers,7
Executive was cool,Returns,executive was cool,10
Best of luck ,Cancellation,best of luck,1
Our team response my issue thanks Shopzilla team,Returns,our team response my issue thanks shopzilla team,10
Executive not good behavior and not skill person,Returns,executive not good behavior and not skill person,10
"  is so good, she knows how to handle the cx with calmness and patience.",Product Queries,is so good she knows how to handle the cx with calmness and patience,8
Ok,Returns,ok,10
I am realy upset to iform you that i am realy not happy with the service provided from your endThe amount of my product was not credited in my acount despite of debited from my acount and even the product was not ordered from your end now you guys are teling me to enquiry in the bank .. i have complaint so many times but it was all in vain ... I am so disastisfied with your service an will never ever order anything or recommend anyone of Shopzilla anymore You guys are providing such a worst service ,Payments related,i am realy upset to iform you that i am realy not happy with the service provided from your endthe amount of my product was not credited in my acount despite of debited from my acount and even the product was not ordered from your end now you guys are teling me to enquiry in the bank i have complaint so many times but it was all in vain i am so disastisfied with your service an will never ever order anything or recommend anyone of shopzilla anymore you guys are providing such a worst service,7
Shopzilla give me fraud items.and not return back from me.,Returns,shopzilla give me fraud itemsand not return back from me,10
I am happy ,Returns,i am happy,10
Excellent ,Order Related,excellent,5
Great work,Returns,great work,10
Thanks ,Order Related,thanks,5
Nice to talk with Kyusbu. Please return this product and I can assure product is not cut as it is product available. ,Returns,nice to talk with kyusbu please return this product and i can assure product is not cut as it is product available,10
Nice ,Order Related,nice,5
RETURN THE MY ORDER,Returns,return the my order,10
"Customer care service is too good.After talking today, I felt that I would get a solution.",Order Related,customer care service is too goodafter talking today i felt that i would get a solution,5
Nice service,Order Related,nice service,5
Good,Order Related,good,5
i want to say Shopzilla ... please improve your support staff and  seller ....seller does not work properly .,Returns,i want to say shopzilla please improve your support staff and seller seller does not work properly,10
I'm not happy ,Returns,im not happy,10
Friendly ,Returns,friendly,10
Thoda jalfi replacement approve kijiye mera ,Returns,thoda jalfi replacement approve kijiye mera,10
Good,Order Related,good,5
Good ,Order Related,good,5
Good ????,Returns,good,10
All is well. ,Returns,all is well,10
Thank you ,Returns,thank you,10
It was quite good ,Returns,it was quite good,10
I'm happy with excutive support,Returns,im happy with excutive support,10
No resolution and even manager also not know current status ,Order Related,no resolution and even manager also not know current status,5
Good man,Returns,good man,10
Agent was very professional and knowledgeable so that I can refer her to anyone for support ,Returns,agent was very professional and knowledgeable so that i can refer her to anyone for support,10
Apse bat karke bahot hi   apka ,Returns,apse bat karke bahot hi apka,10
Your Shopzilla partners executive are not well behaved,Returns,your shopzilla partners executive are not well behaved,10
Ok,Returns,ok,10
Good behaviour ,Returns,good behaviour,10
Behaviour is good,Returns,behaviour is good,10
I didn't get any kind of help from Shopzilla ,Order Related,i didnt get any kind of help from shopzilla,5
Good,Returns,good,10
Good,Returns,good,10
"Consultant is not aware of the system.  He didn't have adequate knowledge of Shopzilla system.Example:When the items are delivered, your system is not showing the pin number in the order to contact the delivery boy as the delivery boy showing as delivered but actually not delivered.Consultant is  not aware of this and he keep on telling me to contact the delivery boy by going thru the order.Improve your system by giving OTP for grocery delivery.ok.",Order Related,consultant is not aware of the system he didnt have adequate knowledge of shopzilla systemexamplewhen the items are delivered your system is not showing the pin number in the order to contact the delivery boy as the delivery boy showing as delivered but actually not deliveredconsultant is not aware of this and he keep on telling me to contact the delivery boy by going thru the orderimprove your system by giving otp for grocery deliveryok,5
Replacement policies to be made with more options ,Order Related,replacement policies to be made with more options,5
Costumers support exclusive team vy sincere,Returns,costumers support exclusive team vy sincere,10
Thanks you ,Order Related,thanks you,5
Worsed communication ,Order Related,worsed communication,5
Not satisfied ,Returns,not satisfied,10
Not able to return and refund the item,Returns,not able to return and refund the item,10
Very good,Order Related,very good,5
Thanks for Information Mam ,Returns,thanks for information mam,10
All good ,Returns,all good,10
try to satisfy customer as payments are being given for the product purchased ,Returns,try to satisfy customer as payments are being given for the product purchased,10
Good ?? ,Returns,good,10
Communication was clear ,Order Related,communication was clear,5
Don't cheat with customer,Returns,dont cheat with customer,10
Super ,Order Related,super,5
Kindly refund the money at the earliest ,Order Related,kindly refund the money at the earliest,5
Poor service ,Order Related,poor service,5
Gyg,Product Queries,gyg,8
Politely talk good ,Order Related,politely talk good,5
The person who took me on my call was very awesome and I felt very comfortable when I talk to her,Returns,the person who took me on my call was very awesome and i felt very comfortable when i talk to her,10
"Make Policies more flexible like Replacement or Refund both options must be granted on every product.Delivery agents more polite and handling products carefully, they handle products very harshly.",Returns,make policies more flexible like replacement or refund both options must be granted on every productdelivery agents more polite and handling products carefully they handle products very harshly,10
 for solving my problem I am thankful to you.you customer services are batter.,Returns,for solving my problem i am thankful to youyou customer services are batter,10
I am very happy ,Returns,i am very happy,10
Please deliver orders on time . Because of your delay I have to suffer alot ??,Order Related,please deliver orders on time because of your delay i have to suffer alot,5
Bahut hi ghatiya ,Product Queries,bahut hi ghatiya,8
Very good,Returns,very good,10
The worst service I have even seen ,Order Related,the worst service i have even seen,5
?? ???? ??????? ???????? ??? ???? ?? ?????? ??? ????,Returns,,10
???? ???? ???,Returns,,10
Very good ,Returns,very good,10
Thanks,Returns,thanks,10
Bad service provider ,Returns,bad service provider,10
By talking with support assistant l felt satisfied and requesting for correct product in replacement. Thank you ?? ,Order Related,by talking with support assistant l felt satisfied and requesting for correct product in replacement thank you,5
Thanks a lot,Order Related,thanks a lot,5
Nice,Returns,nice,10
Waste products in Shopzilla ,Order Related,waste products in shopzilla,5
Ok,Returns,ok,10
No,Returns,no,10
Shopzilla delivery boy behaviour should be improve,Order Related,shopzilla delivery boy behaviour should be improve,5
Very good,Returns,very good,10
VERY BAD THING YOU DO WITH ME TO THIS ORDER,Order Related,very bad thing you do with me to this order,5
Chuthiya,Cancellation,chuthiya,1
Best ,Returns,best,10
Best,Returns,best,10
need improvement,Order Related,need improvement,5
Given above all problems to be solved ,Order Related,given above all problems to be solved,5
No Etc.,Refund Related,no etc,9
Hii,Product Queries,hii,8
Policy is not good,Returns,policy is not good,10
na,Returns,na,10
Quite happy with the steps taken to resolve my delivery related issue.,Returns,quite happy with the steps taken to resolve my delivery related issue,10
Behaviour was polite ,Refund Related,behaviour was polite,9
Best,Returns,best,10
Sapot is very nice,Returns,sapot is very nice,10
Good job ,Returns,good job,10
You  (Shopzilla and team) are the best. Nothing required to improve.. Thanks ashima,Returns,you shopzilla and team are the best nothing required to improve thanks ashima,10
I like ,Returns,i like,10
Really liked ur service ,Returns,really liked ur service,10
Unhappy with Shopzilla,Cancellation,unhappy with shopzilla,1
Good ,Product Queries,good,8
Wisdomshoppe sent me expired perfume. On Shopzilla website the expiry date was December 2024.I'm waiting for the replacement. I have zero confidence in Shopzilla that I will get a genuine replacement.,Returns,wisdomshoppe sent me expired perfume on shopzilla website the expiry date was december 2024im waiting for the replacement i have zero confidence in shopzilla that i will get a genuine replacement,10
Very good ,Feedback,very good,2
"useless customer support executive, either they ability to understand customer issue or capability to resolve same. just waste of Shopzilla money and customer time",Order Related,useless customer support executive either they ability to understand customer issue or capability to resolve same just waste of shopzilla money and customer time,5
Rong,Returns,rong,10
Very happy feel customer service representative very good,Returns,very happy feel customer service representative very good,10
Executive is osm increase his salary ,Order Related,executive is osm increase his salary,5
Thank you so much,Refund Related,thank you so much,9
My product machine please help me very bad service Shopzilla company,Returns,my product machine please help me very bad service shopzilla company,10
Ok,Order Related,ok,5
Good ,Product Queries,good,8
"Should mention delivered to   name\""",Order Related,should mention delivered to name,5
Block such type of vendor to avoid defamation and trust on Shopzilla .,Returns,block such type of vendor to avoid defamation and trust on shopzilla,10
Tnx,Returns,tnx,10
"Please my humble request for Shopzilla team, don't give wrong or fake delivery date. From last 3 orders of mine are delayed in delivering. Don't fool customer by sharing fake delivery date. I hope understand my problem ",Order Related,please my humble request for shopzilla team dont give wrong or fake delivery date from last 3 orders of mine are delayed in delivering dont fool customer by sharing fake delivery date i hope understand my problem,5
Please update my phone number ,Returns,please update my phone number,10
Nice ,Shopzilla Related,nice,11
Delivery agent and hub address,Order Related,delivery agent and hub address,5
Thank you sir,Order Related,thank you sir,5
"Please check carefully, when you send parcel",Returns,please check carefully when you send parcel,10
Nice,Returns,nice,10
Let night help ,Order Related,let night help,5
Very good ,Returns,very good,10
Good ?? ?? ?? ?? ,Returns,good,10
Good,Returns,good,10
My order is being cancelled by seller again and again,Order Related,my order is being cancelled by seller again and again,5
Very good response,Returns,very good response,10
very good saport ,Order Related,very good saport,5
Thanks for Shopzilla,Returns,thanks for shopzilla,10
Thank you ,Shopzilla Related,thank you,11
Pls help & replace product ,Returns,pls help replace product,10
  chit se bahut   ,Refund Related,chit se bahut,9
Nice and supportive exicutive ,Order Related,nice and supportive exicutive,5
Very supportive,Returns,very supportive,10
"Very bad experience my issue is not solving,I try many times but not solved yet my issue ",Order Related,very bad experience my issue is not solvingi try many times but not solved yet my issue,5
Thanks sir,Order Related,thanks sir,5
Thank you ,Returns,thank you,10
5,Returns,5,10
Good work..help karne ke leye TQ...plz meri cancelled request accept kare..or mera products muje send kare tq,Returns,good workhelp karne ke leye tqplz meri cancelled request accept kareor mera products muje send kare tq,10
Xyz,Returns,xyz,10
Thank you ,Order Related,thank you,5
No anymore,Product Queries,no anymore,8
Good Service ,Refund Related,good service,9
Nice,Returns,nice,10
Not ,Refund Related,not,9
Fraud,Returns,fraud,10
"I am happy with this service,??????",Returns,i am happy with this service,10
Bad ,Returns,bad,10
Groceries not delivered ,Order Related,groceries not delivered,5
Customer service cut call,Product Queries,customer service cut call,8
  charges,Returns,charges,10
Ismein information   lag   call   Laga Haiismein information   lag   call   Lagaya but tum aapko main forester,Order Related,ismein information lag call laga haiismein information lag call lagaya but tum aapko main forester,5
"Dear team,Please check my Services calls history, From a Last 1.30months I have call for a many times for a resolve of our Washing machinery issue but congratulation never getting any resolution by your technician and your team,And with out sharing OTP with technician HOW is this possible to Issue is going to be a resolved and also I am calling to technician but he is giving  me a answer  like they will not come at our home because of his office  is fairway from house is 50km then why you company is assigning  a Services call to him.I just wants to know that my issue is going to be a resolved or not?If resolved then How many times you have taken to be a resolution? I have a all recordings with me to conversation with your service teams. Of a 1.30 months and I m also going  in to a Consumer Courts if my issue  is not resolves in a 2 days.",Order Related,dear teamplease check my services calls history from a last 130months i have call for a many times for a resolve of our washing machinery issue but congratulation never getting any resolution by your technician and your teamand with out sharing otp with technician how is this possible to issue is going to be a resolved and also i am calling to technician but he is giving me a answer like they will not come at our home because of his office is fairway from house is 50km then why you company is assigning a services call to himi just wants to know that my issue is going to be a resolved or notif resolved then how many times you have taken to be a resolution i have a all recordings with me to conversation with your service teams of a 130 months and i m also going in to a consumer courts if my issue is not resolves in a 2 days,5
Good,Feedback,good,2
Pathetic experience. Unprofessional behaviour. Age old policies. Incompetence ,Product Queries,pathetic experience unprofessional behaviour age old policies incompetence,8
Every thing is excelent,Returns,every thing is excelent,10
  policies is always successful ,Order Related,policies is always successful,5
"When AI response cannot solve the problem, it irritates the customer. Kindly make it possible to send the bill to my mail. Thank you ??",Order Related,when ai response cannot solve the problem it irritates the customer kindly make it possible to send the bill to my mail thank you,5
Excellent performance of customer care,Returns,excellent performance of customer care,10
"I will 3rd Time Call to customer care. But my Problem is not resolve. now till 20 th Aug im Waiting for this Order,  I hope my Problem is resolve to our side. fisrt time bad service on Shopzilla. ",Returns,i will 3rd time call to customer care but my problem is not resolve now till 20 th aug im waiting for this order i hope my problem is resolve to our side fisrt time bad service on shopzilla,10
"No resolution provided even after the policy is in place for replacement, and then put on hold for infinite time and no call back. Now the resolution time line provided is toll replacement end date so that once that is completed Shopzilla will say your period is over and we can\u2019t do anything pathetic. No ownership and fraud sellers on your website for a purchase amount so high. These product services should be your priority as they are costing high price",Returns,no resolution provided even after the policy is in place for replacement and then put on hold for infinite time and no call back now the resolution time line provided is toll replacement end date so that once that is completed shopzilla will say your period is over and we canu2019t do anything pathetic no ownership and fraud sellers on your website for a purchase amount so high these product services should be your priority as they are costing high price,10
Good talking customer care thank for supporting ,Others,good talking customer care thank for supporting,6
Nice costumer supporting ,Returns,nice costumer supporting,10
Very good costumer sport ?,Returns,very good costumer sport,10
Good communication ,Order Related,good communication,5
Very good ,Returns,very good,10
  good ?? and exilant ,Order Related,good and exilant,5
Please ????? my issu,Refund Related,please my issu,9
Please resolve my problem ,Feedback,please resolve my problem,2
VV ,Order Related,vv,5
All good,Returns,all good,10
Not updating proper information so that issue resolve process delaying.,Returns,not updating proper information so that issue resolve process delaying,10
Good,Payments related,good,7
Good,Refund Related,good,9
Good customer support,Shopzilla Related,good customer support,11
You excutive is so kind. She understand what I say.Bot I will request to resolve my issue.,Returns,you excutive is so kind she understand what i saybot i will request to resolve my issue,10
"One of your customer care executive tell me, he is transfer my call to his senior and hold the phone for more than 10 minutes. I ordered a product from Shopzilla as per your schedule the delivery will come on 16 today is 18's day end but till I have not received my product. ",Order Related,one of your customer care executive tell me he is transfer my call to his senior and hold the phone for more than 10 minutes i ordered a product from shopzilla as per your schedule the delivery will come on 16 today is 18s day end but till i have not received my product,5
No,Returns,no,10
Good support ,Returns,good support,10
Good ,Returns,good,10
good,Returns,good,10
"If it doesn't have a return policy, that's okay.  If an individual customer is making a request, then he should take the return.  If we buy an item from the shop, then take the return after requesting it, then why don't they take the return if they bought it from Shopzilla?",Returns,if it doesnt have a return policy thats okay if an individual customer is making a request then he should take the return if we buy an item from the shop then take the return after requesting it then why dont they take the return if they bought it from shopzilla,10
The parcel has been picked up from me but the application is showing Return Canceled. ,Returns,the parcel has been picked up from me but the application is showing return canceled,10
iam happy ,Returns,iam happy,10
He is good,Refund Related,he is good,9
Poor customer service ,Order Related,poor customer service,5
Nice,Returns,nice,10
Wrost experience ,Order Related,wrost experience,5
Good Communication And This Problem Is Instant Solve,Order Related,good communication and this problem is instant solve,5
Change my mi 5x tv which is broken ,Order Related,change my mi 5x tv which is broken,5
Very nice ????,Order Related,very nice,5
Tnx,Returns,tnx,10
Nyc person,Returns,nyc person,10
There is no option for password change in Shopzilla app,Shopzilla Related,there is no option for password change in shopzilla app,11
Make a policy on live video recording at the time of delivery ,Returns,make a policy on live video recording at the time of delivery,10
"Good resolution, nice to talk with him ",Returns,good resolution nice to talk with him,10
Veery baad ,Returns,veery baad,10
Good response ,Order Related,good response,5
Customer care service good,Returns,customer care service good,10
Thay are just worst I didn\u2019t think thay even trying to be helpful.,Order Related,thay are just worst i didnu2019t think thay even trying to be helpful,5
It's Help full for me.????????,Returns,its help full for me,10
Improve their behavior towards customers. They make fun of customer's issues. Not able to give proper solution.,Returns,improve their behavior towards customers they make fun of customers issues not able to give proper solution,10
Mnanage delivery partners,Returns,mnanage delivery partners,10
She told me that she will give the link for the product complain till now it has not came,Order Related,she told me that she will give the link for the product complain till now it has not came,5
Thank you ,Returns,thank you,10
Excellent customer support ,Order Related,excellent customer support,5
Nice ,Shopzilla Related,nice,11
Very good person ,Returns,very good person,10
Good work ,Returns,good work,10
Good and very sharp executive ??,Order Related,good and very sharp executive,5
Very good ,Returns,very good,10
Very nice ,Returns,very nice,10
Good service ,Refund Related,good service,9
Please take an action again frauds ,Returns,please take an action again frauds,10
No words to say abouts Shopzilla because customer executive are very very good and active to all Shopzilla customer ,Refund Related,no words to say abouts shopzilla because customer executive are very very good and active to all shopzilla customer,9
Good ,Cancellation,good,1
Thank you ,Returns,thank you,10
So polite gesture of Shopzilla customer care team and good communicate ,Returns,so polite gesture of shopzilla customer care team and good communicate,10
Shopzilla hi fake hai sala ,Refund Related,shopzilla hi fake hai sala,9
Fuc,Product Queries,fuc,8
Gud,Order Related,gud,5
My issue not solve very long time I am not satisfy Shopzilla shopping  app and customer support not support,Returns,my issue not solve very long time i am not satisfy shopzilla shopping app and customer support not support,10
nice,Returns,nice,10
Shopzilla hi sabse bakwas hai inse koi   hota bass   lie baithe hai sab bekar log bola gya tha raat 11 bje tak delivered   abb 22 taraik dikha raha jabb nhi krwane ka   le q lete ho ,Order Related,shopzilla hi sabse bakwas hai inse koi hota bass lie baithe hai sab bekar log bola gya tha raat 11 bje tak delivered abb 22 taraik dikha raha jabb nhi krwane ka le q lete ho,5
Time to resolve this problem ,Shopzilla Related,time to resolve this problem,11
Talked to me very well  I am satisfied with his words in customer care Thanks sir,Order Related,talked to me very well i am satisfied with his words in customer care thanks sir,5
Good Support ,Order Related,good support,5
I have found that Shopzilla doesn't have any customer support,Returns,i have found that shopzilla doesnt have any customer support,10
Good ,Returns,good,10
Shopzilla ka sarvives bahut ghatiya hai jo deta deta hai us date aj tak ek bhi order   delivery nhi kiya hai iska survives ekdam ghatiya hai,Order Related,shopzilla ka sarvives bahut ghatiya hai jo deta deta hai us date aj tak ek bhi order delivery nhi kiya hai iska survives ekdam ghatiya hai,5
I order my product it a difective product return request raised but till now no body come to pickup product,Returns,i order my product it a difective product return request raised but till now no body come to pickup product,10
"I told your customer care to request a complain regarding cancellation fee. But no complain written. Your customer care person named manika,   they will not listen the problem properly and they will disconnect the phone. Not at all happy ",Order Related,i told your customer care to request a complain regarding cancellation fee but no complain written your customer care person named manika they will not listen the problem properly and they will disconnect the phone not at all happy,5
When we are purchasing any product from your it is ensured that all the related issues like damage or replacement should be handled only by Shopzilla team.Overall rating 5+,Returns,when we are purchasing any product from your it is ensured that all the related issues like damage or replacement should be handled only by shopzilla teamoverall rating 5,10
Good ,Product Queries,good,8
Flif  application was not at all safe in terms of security because my has been hacked and order placed with my wallet amount without my permission which is really woreset customer experience. ,Payments related,flif application was not at all safe in terms of security because my has been hacked and order placed with my wallet amount without my permission which is really woreset customer experience,7
custom care was good,Returns,custom care was good,10
Thanks very much,Order Related,thanks very much,5
Courier boy behaviour not good very bad behaviour But there was no solution to my complaint.I lodged complaint 5 times.,Returns,courier boy behaviour not good very bad behaviour but there was no solution to my complainti lodged complaint 5 times,10
Good ,Returns,good,10
Delivery is goodand returns also good I am happy with Shopzilla ,Returns,delivery is goodand returns also good i am happy with shopzilla,10
Good ,Shopzilla Related,good,11
Not given satisfactory answer ,Returns,not given satisfactory answer,10
Good service,Returns,good service,10
Good ,Returns,good,10
